"ADSL","ancrpillo","Ancon","","salancfenix1-172.18.31.254","1","35","No","VisionNet M404","00:1F:A4:35:54:29","40406090000193","1","","172.18.31.150 / 24","10.0.0.2 / 24","","","","","A2/2","2°19'37.62""S"
"ADSL","bahcchemin","Bahia de Caraquez","","mankapuaba1-172.28.111.254","4","35","No","TP-Link TD-W8901G","90:f6:52:ba:c2:f4","","","","172.28.111.5/24","","","","","","Directo",""
"ADSL","bahhandra_v","Bahia de Caraquez","","mankapuaba1-172.28.111.254","3","35","No","TP-Link TD-W8901G","F8:D1:11:7F:8A:84","1190900806","1","","172.28.111.4/24","192.168.62.6 /24","","","","","Directo",""
"ADSL","bahlateran","Bahia de Caraquez","","mankapuaba1-172.28.111.254","1","35","No","TP-Link TD-W8901G","F8:D1:11:7F:8C:30","1190900807","1","","172.28.111.2/24","192.168.1.1","","","","","Directo",""
"ADSL","bahmlopezc_v","Bahia de Caraquez","","mankapuaba1-172.28.111.254","2","35","No","TP-Link TD-W8901G","F8:D1:11:7F:8C:22","1190900817","1","","172.28.111.3/24","192.168.1.1 /24","","","","","Directo",""
"ADSL","balaabravoz","Balzar","","balbalbaltazar2-172.26.2.253","45","35","No","VisionNet M505N","F4:5F:F7:0B:35:D0","50511010002667","3","","172.26.2.94/24","10.0.0.2","","","","","D1/3",""
"ADSL","balaaburgost","Balzar","","balbal4deoctubre1-172.26.1.254","28","35","No","Zhone 6211","00:01:38:B4:81:DA","8257169","3","","172.26.1.29 / 24","192.168.1.1 / 24","","","","","A2 / 7",""
"ADSL","balaazambranoa","Balzar","","balbal4deoctubre1-172.26.1.254","33","35","No","TP-Link TD-8811","D8:5D:4C:DD:05:45","10684406582","1","","172.26.1.34/24","192.168.1.1 / 24","","","","","B2 / 4",""
"ADSL","balacapitani","Balzar","","balbalbaltazar1-172.26.2.254","3","35","No","Zyxel P-660R-T1","40:4A:03:A4:6C:C3","10005068416","1","","172.26.2.4 / 24","192.168.1.1 / 24","","","","","A2/3",""
"ADSL","balachang","Balzar","","balbalbaltazar3-172.26.2.252","38","35","No","VisionNet M404","F4:5F:F7:06:7C:B0","40507100000245","2","","172.26.2.137/24","10.0.0.2 ","","","","","E3/6",""
"ADSL","balacquinoneza","Balzar","","balbalbaltazar2-172.26.2.253","12","35","No","Zhone 6211","00:01:38:D2:1A:32","8265058","2","","172.26.2.61 / 24","192.168.1.1 / 24","","","","","D2/9",""
"ADSL","baladmoralesc","Balzar","","balbalbaltazar2-172.26.2.253","34","35","No","TP-Link TD-8811","D8:5D:4C:BD:32:84","10684413258","2","","172.26.2.83 / 24","192.168.1.1 / 24","","","","","Directo",""
"ADSL","balaepluasc","Balzar","","balbalbarrioco1-172.26.3.254","26","35","No","TP-Link TD-8811","D8:5D:4C:DD:39:33","10684413252","2","","172.26.3.27 / 24","192.168.1.1 / 24","","","","","A2/4",""
"ADSL","balaespinoz","Balzar","","balbalbaltazar2-172.26.2.253","47","35","No","VisionNet M404","F4:5F:F7:06:6B:AF","40507100001071","2","","172.26.2.96/24","10.0.0.2","","","","","C1/7",""
"ADSL","balaezambra","Balzar","","balbalbaltazar1-172.26.2.254","13","35","No","VisionNet M505N","F4:5F:F7:0B:10:0A","50511010006535","1","","","10.0.0.2","","","","","B2/5",""
"ADSL","balafruizv","Balzar","","balbal4deoctubre2-172.26.1.253","27","35","No","TP-Link TD-W8901G","F8:D1:11:78:A3:D2","1182801249","2","","172.26.1.76/24","192.168.1.1","","","","","C1/10",""
"ADSL","balafverg","Balzar","","balbal4deoctubre3-172.26.1.252","21","35","No","TP-Link TD-W8901G","90:F6:52:C6:FC:40","12493707985","2","","172.26.1.180/24","192.168.1.1 /24"," ","","","","D1/5 ",""
